iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,base
10,772,2.52598,2.11515,0.0260996,7.78277,,4.25193,1.16213,3.57907,2.54982,1.82536,,1.91713,6.07249,3.96916,0.0578327,0.193346,2.77913,0.853401,2.24088,7.78277,0.682036,3.0524,0.126829,3.39118,6.1046,1.69387,6.35336,0.358978,6.28353,0.626951,,7.00255,3.96803,1.38893,3.28502,3.57532,0.350511,3.72943,2.07509,1.24408,1.15993,4.9352,1.94356,,3.51056,1.22626,1.24193,0.359736,0.171286,0.128377,,1.91314,0.0260996,
11,808,2.47572,2.04735,0.0260996,7.78277,,4.09468,1.16213,3.57907,2.54982,1.82536,,1.91713,6.07249,3.96916,0.0578327,0.193346,2.77913,0.853401,2.24088,7.78277,0.682036,3.0524,0.126829,3.39118,6.1046,1.69387,4.2989,0.358978,6.28353,0.626951,,7.00255,3.96803,1.38893,3.28502,3.57532,0.350511,3.72943,2.07509,1.24408,1.15993,4.9352,1.94356,,3.51056,1.22626,1.24193,0.359736,0.171286,0.128377,,1.91314,0.0260996,
12,858,4.3299,4.84474,0.010064,23.4295,8.66677,3.84374,3.29968,6.70004,1.88161,1.61071,18.567,1.50186,10.9234,3.55702,0.0571863,0.91235,6.4228,0.689802,7.54892,7.94514,0.503936,6.05482,0.250665,2.99413,7.3472,1.93002,8.9431,0.885161,6.21852,0.838571,6.67352,23.4295,8.18021,1.31406,2.9243,7.13747,1.56269,3.10677,1.38692,1.12411,1.97795,5.44945,4.78743,0.63729,2.95839,0.960795,1.68187,0.571169,0.360491,0.320293,15.6995,4.11301,0.0336101,0.010064
13,948,2.92835,2.52057,0.0192768,10.7928,,4.09475,1.61713,4.24248,1.8644,1.91953,6.7485,1.78193,6.94735,3.48554,0.0192768,0.433909,3.48866,0.901369,2.98871,7.90983,0.578373,3.53679,0.0466168,3.27205,6.35387,1.83723,6.60913,0.446631,5.84102,0.598144,5.67219,10.7928,4.31024,1.29538,3.11261,4.9854,0.649381,3.24703,2.06716,1.20716,1.35023,4.72359,2.86127,1.10045,2.82613,1.10954,1.37115,0.336235,0.229639,0.0884554,7.53936,2.1017,0.020432,
14,984,2.92912,2.52014,0.0192768,10.7928,,4.09475,1.61713,4.24248,1.8644,1.94355,6.7394,1.78193,6.94735,3.48554,0.0192768,0.433909,3.48866,0.901369,2.98871,7.90983,0.578373,3.53679,0.0466168,3.29389,6.35387,1.83723,6.60913,0.446631,5.84102,0.598144,5.67219,10.7928,4.31024,1.29538,3.11261,4.9854,0.649381,3.24703,2.06716,1.20716,1.35023,4.72359,2.86127,1.10045,2.82613,1.10954,1.37115,0.336235,0.229639,0.0884554,7.53936,2.1017,0.020432,
15,1020,2.92043,2.52139,0.0192768,10.7928,,4.09475,1.61713,4.24248,1.8644,1.94355,6.7394,1.78193,6.94735,3.48554,0.0192768,0.433909,3.48866,0.901369,2.98871,7.90983,0.578373,3.56774,0.0466168,3.29389,6.35387,1.83723,6.60913,0.446631,5.84102,0.598144,5.67219,10.7928,4.31024,1.29538,3.11261,4.9854,0.649381,3.24703,2.06716,1.20716,1.35023,4.72359,2.41342,1.10045,2.82613,1.10954,1.37115,0.336235,0.229639,0.0884554,7.53936,2.1017,0.020432,
16,1100,2.79902,2.48937,0.0192768,10.7928,,4.09475,0.810683,3.99619,1.8644,1.94355,6.7394,1.78193,6.94735,3.48554,0.0192768,0.433909,3.48866,0.901369,2.63227,7.90983,0.578373,2.98905,0.0466168,3.29389,6.35387,1.83723,3.95992,0.446631,5.84102,0.598144,5.67219,10.7928,4.31024,1.29538,3.11261,4.98775,0.187239,3.24703,2.06716,1.20716,1.35023,4.72359,1.77574,1.10045,2.82613,1.10954,1.37115,0.243208,0.229639,0.0884554,7.53936,2.1017,0.020432,
17,1180,2.7453,2.52677,0.0192768,10.7928,,4.09475,0.685353,3.99619,1.8644,1.94355,6.94525,1.78193,7.28264,3.48554,0.0192768,0.402936,3.48866,0.901369,1.19739,8.0437,0.578373,2.98905,0.0466168,3.29389,6.48492,1.83674,3.84045,0.350672,5.84102,0.624989,5.78615,10.7928,4.17624,1.32679,3.23141,3.96178,0.187239,3.24703,2.06716,1.20716,1.34535,4.72359,1.07923,1.10045,2.82613,1.10954,1.36364,0.243208,0.229639,0.0884554,7.53936,2.1017,0.020432,
18,1216,2.71231,2.47971,0.0192768,10.7928,,4.09475,0.685353,3.99619,1.8644,1.94355,6.94525,1.78193,7.28264,3.48554,0.0192768,0.402936,3.48866,0.901369,1.19739,7.44149,0.578373,2.98905,0.0466168,3.29389,6.48492,1.83674,3.84045,0.350672,5.84102,0.624989,4.80528,10.7928,4.17624,1.32679,3.23141,3.96178,0.187239,3.24703,2.06716,1.20716,1.34535,4.72359,1.07923,1.10045,2.82613,1.10954,1.36364,0.243208,0.229639,0.0884554,7.53936,2.1017,0.020432,
19,1296,2.6689,2.42615,0.013753,10.7928,,4.09475,0.640318,3.99619,1.8644,1.94355,5.85662,1.78193,6.78358,3.48554,0.0192768,0.410359,3.48866,0.901369,1.19739,7.39209,0.578373,2.98905,0.0466168,3.29389,6.75898,1.89268,3.72353,0.338367,5.84102,0.624989,4.80528,10.7928,3.485,1.32679,3.30733,3.96178,0.187239,3.24703,2.06716,1.20716,1.35731,4.72359,1.07923,1.10045,2.82613,1.10954,1.36364,0.243208,0.229639,0.0884554,7.53936,2.1017,0.013753,
20,1332,2.66789,2.42581,0.013753,10.7928,,4.09475,0.640318,3.99619,1.8644,1.94355,5.85662,1.78193,6.78358,3.48554,0.0192768,0.410359,3.48866,0.901369,1.19739,7.39209,0.578373,2.98905,0.0466168,3.29389,6.75898,1.89268,3.72353,0.338367,5.84102,0.624989,4.80528,10.7928,3.43656,1.32679,3.30733,3.96178,0.187239,3.24703,2.06716,1.20716,1.35731,4.72359,1.07923,1.10045,2.82613,1.10954,1.36364,0.243208,0.229639,0.0884554,7.53936,2.1017,0.013753,
21,1412,2.79809,2.46484,0.0104138,11.281,,4.10778,0.637723,4.00869,1.88568,1.95431,5.84084,1.79342,6.77189,3.49998,0.0208568,0.410528,3.55589,0.910144,1.22239,7.38509,0.58182,3.0143,0.0472497,3.30688,6.75748,1.89368,3.72072,,5.85946,0.624989,4.84579,11.281,3.42553,1.32596,3.30733,4.03524,0.190967,3.25301,2.08229,1.21075,1.35991,4.75139,1.09897,1.11512,2.84362,1.11475,1.36681,0.244326,0.237376,,7.67827,2.12178,0.0104138,
22,1490,2.8421,2.49519,0.0181362,12.0716,,4.79098,0.455477,3.7106,2.68161,2.40496,3.51091,2.14351,5.45026,4.09264,0.142781,0.334517,3.04091,1.07797,0.577094,7.25504,0.753607,2.63025,,4.12213,7.76314,1.84291,3.77738,,6.91427,0.704693,4.42415,12.0716,2.3669,1.39734,3.51473,1.1913,0.151481,3.62647,2.13308,1.39977,0.983367,5.91698,0.540967,1.29863,3.34545,1.25813,1.28465,0.626981,0.0181362,,5.8664,1.4583,,
23,1566,2.84903,2.44417,0.0262757,10.9679,,4.83695,0.442374,3.7347,2.68855,2.51865,3.58319,2.1677,5.29728,4.16027,0.177905,0.337226,2.71397,1.07675,0.581115,7.21971,0.767949,2.60417,,4.25853,7.93034,1.85404,3.77451,,6.95323,0.715522,4.40114,10.9679,2.32101,1.40331,,1.21952,0.154857,3.67688,2.07592,1.4117,0.921583,5.98439,0.520906,1.29169,3.32003,1.26105,1.27758,,0.0262757,,5.73355,1.29537,,
24,1640,2.66476,2.27641,0.0912109,9.03696,,5.36841,0.275435,,2.85823,2.99143,2.32793,2.36142,4.0803,4.67211,0.500068,0.41885,1.30082,1.16677,0.581369,7.43568,0.916717,2.33859,,5.26023,9.03696,2.18973,4.61801,,7.79671,0.916492,4.14928,4.4009,1.9597,1.49709,,0.413673,0.0912109,4.02871,1.74132,1.54814,0.664953,6.56035,1.85857,1.28553,3.30123,1.38739,1.33228,,0.47365,,,0.48416,,
