,curv_cond,mean_en_phi
2.3859981270551688e-05,-0.003075235876698641,1.78762373
6.795408247873756e-05,-0.008758382080718406,1.78762361
0.00019353566430608965,-0.02494418631534471,1.78762353
0.0005511965137652933,-0.07104193733505096,1.78762564
0.0015698274417603251,-0.2023299856933806,1.78765057
0.004470924861388216,-0.5762430565148493,1.78787488
0.012733354370315007,-1.6411608938913713,1.78975745
0.03626504997216091,-4.674085091676798,1.80520712
0.10328416309133107,-13.311961993216569,1.9310346
0.29415700112548404,-37.91294523593492,2.9530887
0.8377696901568882,-107.97742790998481,11.2467755
2.3859981270551684,-307.5235876690781,78.516016
