real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
39,1,1.242,1.431,1.518,2.557,3.574,3.67,3.884,4.087,4.165,1,1.484,1.862,2.035,4.114,6.148,6.341,6.769,7.174,7.331
40,1,1.241,1.437,1.607,1.818,1.938,2.961,4.005,4.691,5.342,1,1.482,1.875,2.214,2.636,2.876,4.922,7.01,8.381,9.685
41,1,1.226,1.362,1.465,1.648,1.791,1.896,2.062,2.255,2.347,1,1.452,1.725,1.93,2.296,2.582,2.792,3.123,3.511,3.694
42,1,1.576,2.142,2.285,2.6,2.88,3.252,3.67,4.037,4.349,1,2.153,3.284,3.569,4.2,4.76,5.504,6.34,7.074,7.698
43,1,1.439,1.824,2.039,2.727,3.311,3.632,4.041,4.883,5.592,1,1.878,2.648,3.077,4.453,5.623,6.263,7.082,8.765,10.185
44,1,2.1,3.135,3.258,3.443,3.585,4.062,4.579,4.999,5.391,1,3.2,5.27,5.516,5.886,6.169,7.125,8.158,8.997,9.782
45,1,1.348,1.677,1.767,1.86,1.954,2.964,4.023,4.406,4.747,1,1.696,2.354,2.535,2.721,2.907,4.927,7.045,7.812,8.494
46,1,2.1,3.492,4.021,4.512,4.938,5.539,6.664,8.258,9.268,1,3.2,5.984,7.043,8.024,8.875,10.079,12.327,15.517,17.537
47,1,2.1,3.133,3.198,3.437,3.677,3.769,3.89,4.602,5.287,1,3.2,5.267,5.397,5.875,6.354,6.537,6.78,8.203,9.574
48,1,2.1,3.155,3.234,3.431,3.677,3.785,3.831,3.945,4.099,1,3.2,5.311,5.469,5.861,6.354,6.571,6.661,6.89,7.197
base,1,1.493,1.936,2.024,2.237,2.425,2.699,3.046,3.509,3.897,1,1.987,2.872,3.047,3.475,3.849,4.397,5.093,6.018,6.794
