name transform change_limit value lower_bound upper_bound group scale offset dercom
per_f00071 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00072 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00073 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00074 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00075 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00076 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00077 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00078 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00079 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00080 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00081 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00082 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00083 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00084 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00085 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00086 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00087 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00088 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00089 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00090 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00091 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00092 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00093 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00094 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00095 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00096 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00097 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00098 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00099 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00100 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00101 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00102 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00103 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00104 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00105 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00106 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00107 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00108 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00109 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00110 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00111 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00112 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00113 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00114 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00115 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00116 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00117 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00118 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00119 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00120 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00121 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00122 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00123 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00124 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00125 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00126 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00127 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00128 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00129 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00130 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00131 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00132 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00133 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00134 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00135 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00136 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00137 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00138 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00139 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00140 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00141 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00142 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00143 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00144 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00145 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00146 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00147 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00148 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00149 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00150 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00151 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00152 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00153 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00154 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00155 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00156 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00157 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00158 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00159 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00160 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00161 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00162 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00163 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00164 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00165 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00166 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00167 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00168 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00169 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00170 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00171 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00172 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00173 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00174 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00175 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00176 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00177 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00178 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00179 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00180 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00181 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00182 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00183 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00184 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00185 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00186 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00187 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00188 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00189 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00190 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
