name transform change_limit value lower_bound upper_bound group scale offset dercom
emm_m00065 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00066 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00067 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00068 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00069 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00070 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00071 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00072 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00073 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00074 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00075 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00076 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00077 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00078 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00079 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00080 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00081 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00082 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00083 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00084 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00085 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00086 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00087 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00088 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00089 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
