       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 hkr10c00        2.5486322E-09   1.3183275E-06   2.2208317E-05   3.2867737E-06   4.8486544E-08   2.6864453E-05   5.1830930E-03
 hkr10c01        3.4623280E-09   6.5616254E-06   3.8265284E-05   2.8786970E-08   1.3413380E-06   4.6200496E-05   6.7970947E-03
 hkr10c02        5.2175098E-07   9.5744571E-07   7.4261786E-05   3.5453816E-04   1.2438809E-05   4.4271796E-04   2.1040864E-02
 hkr10c03        5.2803349E-07   2.4737603E-07   9.6435517E-05   3.5465234E-04   1.3916219E-05   4.6577948E-04   2.1581925E-02
 hkr10c08        6.6217315E-07   8.4643932E-05   3.2495208E-04   1.6368747E-05   9.9336419E-04   1.4199911E-03   3.7682770E-02
 hkr10c09        9.0697524E-07   1.0593385E-04   4.3071765E-04   1.4476582E-07   1.0689257E-03   1.6066289E-03   4.0082776E-02
 hkr10c10        1.2679742E-06   1.3239420E-04   5.6221067E-04   3.1644133E-05   4.9439149E-04   1.2219085E-03   3.4955807E-02
 hkr10c11        3.4707151E-06   2.8763675E-04   1.0748439E-03   3.9923753E-04   1.2748429E-04   1.8926732E-03   4.3504864E-02
 hkr10c12        8.8349496E-07   8.0860473E-05   3.2932826E-04   1.0344271E-04   9.8262076E-06   5.2434115E-04   2.2898497E-02
 hkr10c13        6.4994037E-09   4.7630784E-07   1.5402654E-06   6.9518276E-06   1.3980095E-04   1.4877585E-04   1.2197370E-02
 hkr10c14        3.9996881E-08   4.1391741E-06   1.7025038E-05   1.4664894E-05   5.9033064E-05   9.4902167E-05   9.7417743E-03
 hkr10c15        8.5862968E-10   3.1060039E-08   2.9384870E-08   5.1984676E-08   2.6967866E-07   3.8296687E-07   6.1884317E-04
 hkr10c16        1.1979031E-09   4.2934785E-08   4.2480903E-08   7.2137237E-08   3.9052679E-07   5.4927762E-07   7.4113266E-04
 hkr10c17        5.7571347E-10   2.1103392E-08   1.8695463E-08   3.5125958E-08   1.7113979E-07   2.4664032E-07   4.9662895E-04
 hkr10c18        6.8729747E-12   5.7956781E-10   5.1917666E-11   6.4994838E-10   1.7536770E-11   1.3058436E-09   3.6136458E-05
 hkr10c19        6.3921166E-11   1.4335936E-09   5.8649556E-09   3.0992016E-09   4.2866922E-08   5.3328594E-08   2.3092985E-04
 hkr11c00        6.4122074E-09   6.4290967E-07   1.7734061E-06   2.9965745E-08   2.2356272E-07   2.6762565E-06   1.6359268E-03
 hkr11c01        3.1050039E-08   3.3668704E-06   2.8314075E-06   1.9765710E-05   1.2564132E-06   2.7251452E-05   5.2202923E-03
 hkr11c02        3.2645579E-07   2.5950355E-05   1.3443804E-06   3.0540331E-04   1.3271991E-05   3.4629649E-04   1.8609043E-02
