name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR02C10,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C11,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C12,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C13,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C14,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C15,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C16,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C17,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C18,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C19,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C20,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C21,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C22,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C23,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C24,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C25,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C26,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C27,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR02C28,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR02C29,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR02C30,2.30103,0.5,1.30103,3.30103,2.30103,0.499998,1.30103,3.30103
KR02C31,2.30103,0.5,1.30103,3.30103,2.30103,0.499997,1.30104,3.30102
KR02C32,2.30103,0.5,1.30103,3.30103,2.30103,0.499994,1.30104,3.30102
KR02C33,2.30103,0.5,1.30103,3.30103,2.30103,0.499988,1.30105,3.30101
KR02C34,2.30103,0.5,1.30103,3.30103,2.30103,0.499973,1.30108,3.30098
KR02C35,2.30103,0.5,1.30103,3.30103,2.30103,0.499978,1.30107,3.30099
KR02C36,2.30103,0.5,1.30103,3.30103,2.30103,0.499924,1.30118,3.30088
KR02C37,2.30103,0.5,1.30103,3.30103,2.30103,0.499886,1.30126,3.3008
KR02C38,2.30103,0.5,1.30103,3.30103,2.30103,0.499899,1.30123,3.30083
KR02C39,2.30103,0.5,1.30103,3.30103,2.30103,0.499888,1.30125,3.30081
KR02C40,2.30103,0.5,1.30103,3.30103,2.30103,0.499908,1.30121,3.30085
KR02C41,2.30103,0.5,1.30103,3.30103,2.30103,0.499887,1.30126,3.3008
KR02C42,2.30103,0.5,1.30103,3.30103,2.30103,0.499856,1.30132,3.30074
KR02C43,2.30103,0.5,1.30103,3.30103,2.30103,0.499871,1.30129,3.30077
KR02C44,2.30103,0.5,1.30103,3.30103,2.30103,0.499859,1.30131,3.30075
KR02C45,2.30103,0.5,1.30103,3.30103,2.30103,0.499886,1.30126,3.3008
