       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 kr07c54         4.9704642E-05   2.8716409E-03   6.7617654E-03   1.1032961E-02   8.3781202E-03   2.9094192E-02   0.1705702    
 kr07c55         9.9474460E-05   1.3094984E-02   1.3111331E-02   5.3943833E-03   7.5269228E-03   3.9227096E-02   0.1980583    
 kr07c56         1.2838646E-04   2.1889932E-02   1.5512897E-02   2.5314179E-03   1.2604199E-03   4.1323053E-02   0.2032807    
 kr07c57         8.8357541E-05   1.5154860E-02   1.5290154E-02   3.5702742E-03   3.8920959E-04   3.4492856E-02   0.1857225    
 kr07c58         3.1574353E-05   4.4859305E-03   7.5626570E-03   3.6724341E-03   7.6769644E-04   1.6520292E-02   0.1285313    
 kr07c59         3.7567932E-06   3.5827995E-04   3.7900682E-03   3.1358591E-03   3.6001957E-03   1.0888160E-02   0.1043463    
 kr07c60         1.1707295E-08   1.0951666E-05   1.9205876E-03   1.0111400E-03   2.0582263E-03   5.0009172E-03   7.0717164E-02
 kr08c01          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c02          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c03          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c04          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c05          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c06          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c07          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c08          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c09          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c10          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c11          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c12          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c13          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr08c14         5.2294929E-32   9.3294446E-30   9.1192631E-29   1.4193587E-28   5.8779961E-27   6.1205063E-27   7.8233665E-14
 kr08c15         5.2294929E-32   9.3294446E-30   9.1192631E-29   1.4193587E-28   5.8779961E-27   6.1205063E-27   7.8233665E-14
 kr08c16         1.6958860E-12   5.5336633E-10   8.5016886E-10   9.6737956E-09   7.0476180E-10   1.1783789E-08   1.0855316E-04
