

             pestpp-swp - a parameteric sweep utility, version 4.2.9
                     for PEST(++) datasets 

                 by the PEST++ development team



using control file: "10par_xsec.pst"

Note: 3 unused lines in pest control file, see rec file...

             Generalized Run Manager Interface
                             by:

               The PEST++ Development Team


          starting PANTHER master...

IP addresses:
  0.0.0.0:4005 (IPv4)

PANTHER master listening on socket: 0.0.0.0:4005 (IPv4)
reading par values...done
starting runs 0 --> 500
    running model 500 times

      waiting for slaves to appear...


PANTHER progress
   runs(C = completed | F = failed | T = timed out)
   slaves(R = running | W = waiting | U = unavailable)
------------------------------------------------------------------------------
08/31 12:00:23 runs(C=19   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:23 runs(C=19   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=21   | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:23 runs(C=21   | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:23 runs(C=21   | F=0    | T=0    ): slaves(R=6   | W=2   | U=0   )
08/31 12:00:23 runs(C=21   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=22   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=22   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=22   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:23 runs(C=22   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=23   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=23   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=23   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:23 runs(C=23   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=24   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=24   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=24   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:23 runs(C=24   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:24 runs(C=24   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:24 runs(C=24   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=25   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=25   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=25   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:25 runs(C=25   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=26   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=26   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=26   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:25 runs(C=26   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=27   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=27   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=27   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:25 runs(C=27   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=29   | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:25 runs(C=29   | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:25 runs(C=29   | F=0    | T=0    ): slaves(R=6   | W=2   | U=0   )
08/31 12:00:25 runs(C=29   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=30   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=30   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=30   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:25 runs(C=30   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=31   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=31   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=31   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:25 runs(C=31   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:25 runs(C=32   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=32   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:25 runs(C=32   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:25 runs(C=32   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
