name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HKR00C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.495531,-0.216726,1.7654
HKR00C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.498748,-0.22316,1.77183
HKR00C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.499282,-0.224229,1.7729
HKR00C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.49972,-0.225104,1.77377
HKR00C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.499955,-0.225575,1.77425
HKR00C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499989,-0.225642,1.77431
HKR00C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.5,-0.225665,1.77434
HKR01C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499996,-0.225656,1.77433
HKR01C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499986,-0.225636,1.77431
HKR01C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499935,-0.225536,1.77421
HKR01C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.499826,-0.225316,1.77399
HKR01C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.499692,-0.225048,1.77372
HKR01C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.499393,-0.22445,1.77312
HKR01C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.499307,-0.224278,1.77295
HKR01C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.499095,-0.223854,1.77253
HKR01C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.498284,-0.222233,1.7709
HKR01C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.497647,-0.220958,1.76963
HKR01C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.498222,-0.222109,1.77078
HKR01C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.496781,-0.219226,1.7679
HKR01C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.494387,-0.21444,1.76311
HKR01C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.493537,-0.21274,1.76141
HKR01C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.497298,-0.220261,1.76893
HKR01C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.497819,-0.221303,1.76997
HKR01C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.499989,-0.225642,1.77431
HKR01C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.499955,-0.225575,1.77425
HKR01C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499989,-0.225642,1.77431
HKR01C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.5,-0.225665,1.77434
HKR02C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499995,-0.225655,1.77433
HKR02C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499972,-0.225608,1.77428
HKR02C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499888,-0.22544,1.77411
HKR02C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.499773,-0.225211,1.77388
HKR02C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.49958,-0.224824,1.77349
HKR02C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.499216,-0.224096,1.77277
HKR02C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.499006,-0.223677,1.77235
HKR02C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.498672,-0.223009,1.77168
HKR02C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.4971,-0.219864,1.76854
HKR02C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.491897,-0.209459,1.75813
HKR02C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.492905,-0.211476,1.76015
HKR02C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.49389,-0.213445,1.76212
HKR02C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.492122,-0.209909,1.75858
HKR02C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.492229,-0.210123,1.75879
HKR02C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.495552,-0.21677,1.76544
HKR02C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.494075,-0.213815,1.76249
HKR02C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.495938,-0.21754,1.76621
HKR02C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.498878,-0.223421,1.77209
HKR02C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499899,-0.225463,1.77413
