run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,OBJECTIVE,OBJ1,OBJ2
0,0,0,15145.9963639581,15145.9963639581,0,15145.9963639581,13.300451395477,0.601428667502948
1,1,0,4175.87375659482,4175.87375659482,0,4175.87375659482,1.66458739198777,7.42783487376263
2,2,0,1946.03915644223,1946.03915644223,0,1946.03915644223,4.73083489189494,3.35398865202057
3,3,0,2718.95787189613,2718.95787189613,0,2718.95787189613,2.42087442969726,6.01704041980865
4,4,0,1937.43403428833,1937.43403428833,0,1937.43403428833,4.6963623944469,3.38982120498629
5,5,0,2091.3165770447,2091.3165770447,0,2091.3165770447,3.0765286361157,5.07445635561831
6,6,0,1847.83079829972,1847.83079829972,0,1847.83079829972,4.35214583782484,3.69098982996049
7,7,0,1816.89824958717,1816.89824958717,0,1816.89824958717,4.08431705635429,3.94210312391557
8,8,0,2305.55648213512,2305.55648213512,0,2305.55648213512,5.4494038750796,2.8050955591818
9,9,0,14330.3083544754,14330.3083544754,0,14330.3083544754,0.58610008139352,12.9637690717487
10,10,0,1885.11411511234,1885.11411511234,0,1885.11411511234,4.52451761036875,3.53553086459699
11,11,0,13150.2803259155,13150.2803259155,0,13150.2803259155,0.583723701318319,12.4599091315032
12,12,0,4084.43981890697,4084.43981890697,0,4084.43981890697,1.69428226732215,7.35313861979666
13,13,0,1820.96029368847,1820.96029368847,0,1820.96029368847,4.12279670018813,3.90822002368783
14,14,0,9790.47701457606,9790.47701457606,0,9790.47701457606,10.8900478460922,0.697140712923879
15,15,0,14166.7952795226,14166.7952795226,0,14166.7952795226,12.8953505348236,0.589404762693653
16,16,0,2315.68212477306,2315.68212477306,0,2315.68212477306,2.78143995312523,5.4702676587806
17,17,0,13237.4203310424,13237.4203310424,0,13237.4203310424,0.58500676736903,12.4979121551391
18,18,0,2106.84054354568,2106.84054354568,0,2106.84054354568,3.08503710287567,5.08913508154092
19,19,0,6557.73204907708,6557.73204907708,0,6557.73204907708,9.09772281659753,1.06485118600768
20,20,0,3969.10674549868,3969.10674549868,0,3969.10674549868,7.25581747489921,1.74553013066707
21,21,0,8196.23500766009,8196.23500766009,0,8196.23500766009,0.831508065283882,10.0517379847484
22,22,0,1825.77853904847,1825.77853904847,0,1825.77853904847,3.84707277977692,4.18621436459288
23,23,0,10688.6936972625,10688.6936972625,0,10688.6936972625,11.3324131953317,0.641985288626883
24,24,0,3025.63245465664,3025.63245465664,0,3025.63245465664,6.35765252159516,2.24574636439823
25,25,0,2216.80506624835,2216.80506624835,0,2216.80506624835,5.30576916122919,2.90483663149657
