name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_258,1920209,5610044,-10,845.8,245.77,860,4.35,70.6,1,30.6,272.76,1.56,5,1,300
manual_259,1919521,5609753,-10,1484,306.12,560,2.43,97.9,1,11.7,48.99,0.53,5,1,300
manual_260,1918886,5609647,-10,1192.53,379.21,1140,4.43,80.2,1,21.2,241.66,0.76,5,1,300
manual_261,1918357,5609488,-10,941.78,339.64,820,6.9,21.9,1,20.6,240,3.56,5,1,300
manual_262,1917669,5609303,-10,760.29,242.17,540,5.4,82,1,29.7,355.53,3.56,5,1,300
manual_263,1916902,5609435,-10,517.24,189.76,1120,3.17,91.8,1,16,132.66,0.59,5,1,300
manual_264,1916294,5608959,-10,160.16,75.66,960,4.73,114,1,16.3,427.08,2.38,5,0.966,300
manual_265,1916003,5608139,-10,245.2,118.6,880,4.07,94,1,10.2,74.83,0.43,5,1,300
manual_266,1915738,5607319,-10,422.12,210.91,940,4.77,76,1,81.7,48.99,2.67,5,1,300
manual_267,1915473,5606737,-10,477.73,219.99,640,3.7,35.6,1,27.5,445.42,2.77,5,1,300
manual_268,1914891,5606419,-10,263.69,147.32,900,7.2,43.8,1,13.6,296.65,3.66,5,1,300
manual_269,1914256,5606128,-10,403.82,130.85,1100,6.7,51.8,1,14.7,109.54,2.69,5,1,300
manual_270,1913489,5605863,-10,409.51,73.69,1040,3.87,59.9,1,12.7,272.76,1.38,5,1,300
manual_271,1912854,5605652,-10,543.1,237.94,1300,4.93,68,1,7.5,109.54,1.21,5,1,300
manual_272,1912007,5605334,-10,595.02,182.79,740,4.43,72.1,1,14.8,257.68,1.81,5,1,300
manual_273,1911240,5605281,-10,383.14,126.98,1060,4.53,90,1,29.1,287.05,1.25,5,1,300
