name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_063,1927545,5606035,-10,1387.98,135.02,1180,2.81,134,1,8,203.96,0.43,5,1,300
manual_064,1924668,5606035,-10,920.84,230.28,1220,10.7,90.7,1,37.8,318.75,3.28,5,1,300
manual_065,1924072,5605539,-10,667.94,268.9,1460,9.23,18,1,7.5,48.99,4.42,5,1,300
manual_066,1923345,5605374,-10,337.27,225.19,1320,6.17,38,1,4,74.83,0.99,5,1,300
manual_067,1922419,5605109,-10,40.78,42.13,1080,2.75,122,1,9.8,74.83,0.32,5,1,300
manual_068,1921460,5605308,-10,169.86,149.42,1480,11.9,45.5,1,65.8,40,3.8,5,1,300
manual_069,1920732,5605275,-10,96.08,53.05,940,6.5,132.1,1,11.7,488.26,4.2,5,1,300
manual_070,1927776,5611029,-10,2217.84,92.54,1360,3.6,64,1,4.9,48.99,1.72,5,1,300
manual_071,1926917,5610996,-10,1990.31,541.1,1460,7.55,33.7,1,22.6,80,3.94,5,1,300
manual_072,1925924,5610765,-10,299.43,437.81,1140,7.8,57.1,1,29.4,372.02,4.18,5,1,300
manual_073,1924899,5610666,-10,113.43,80.24,620,4.9,33.9,1,22.7,74.83,1.5,5,1,300
manual_074,1921294,5608450,-10,45.65,20.86,1160,4.28,15.9,1,16.3,48.99,1.43,5,1,300
manual_075,1920666,5607458,-10,80.52,74.19,300,2.8,7.7,1,16,109.54,1.33,5,1,300
manual_076,1922319,5608218,-10,125.35,47.11,1220,10.9,40.1,1,41.1,318.75,3.85,5,1,300
manual_077,1921724,5607623,-10,9.76,6.56,540,2.35,66.4,1,67.6,280,0.83,5,1,300
manual_078,1920765,5606928,-10,78.41,40.28,1480,6.06,72.7,1,21.3,40,1.9,5,1,300
manual_079,1919740,5606730,-10,18.86,13.57,1120,5.3,140.1,1,11,160,1.29,5,1,300
manual_080,1918748,5606498,-10,103.33,43.79,1400,9,29.2,1,58,200,3.39,5,1,300
manual_081,1933465,5607987,-10,476.9,185.17,1300,8.38,106.9,1,30.2,200,4.83,5,1,300
manual_082,1932771,5607061,-10,136.35,114.02,1440,4.43,115.7,1,29.1,80,1.64,5,1,300
manual_083,1932737,5605936,-10,171.78,92.24,1460,5.12,65,1,66.3,80,1.28,5,1,300
manual_084,1932936,5604878,-10,190.92,63.37,1180,11.8,82.3,1,56.1,292.57,2.93,5,1,300
manual_085,1933002,5603588,-10,31.86,60.11,1460,13.1,39.5,1,25.6,80,2.91,5,1,300
manual_086,1913919,5604117,-10,0.27,0.54,1320,4.9,60,1,6.3,97.98,1.31,5,0.966,300
manual_087,1917656,5604613,-10,53.71,116.54,1160,6.63,39.7,1,24.7,101.98,2.85,5,1,300
manual_088,1916664,5603621,-10,34.59,57.4,940,5.4,86.4,1,42,265.33,2,5,1,300
manual_089,1915639,5601868,-10,0.0001,0.1,920,6,33.7,1,36.5,240,1.69,5,1,300
manual_090,1919310,5599983,-10,0.0001,0.1,1220,6.7,88,1,65.1,560,4.64,5,0.966,300
manual_091,1934788,5613113,-10,584.78,85.92,1360,2.39,24,1,8,80,0.36,5,1,300
manual_092,1933829,5612848,-10,625.16,56.62,1480,3.25,80.6,1,30.6,40,0.32,5,1,300
manual_093,1932374,5613907,-10,750.16,93.31,1460,11.6,73.8,1,54.6,48.99,3.37,5,1,300
manual_094,1931811,5609707,-10,921.31,146.45,1460,11.1,12,1,7.5,48.99,4.05,5,1,300
manual_095,1930786,5610004,-10,986.47,201.5,1460,8.7,120.1,1,16.8,48.99,2.66,5,1,300
manual_096,1929926,5610302,-10,1098.49,224.18,1200,5.57,28,1,9.8,109.54,0.79,5,1,300
manual_097,1929529,5611129,-10,1501.2,181.12,1500,5.75,59.5,1,46.1,0.1,1.5,5,1,300
