iteration,total_runs,obs_realization,par_realization,gage,headwater,in_ghb,in_rch,in_sfr,in_ss,in_sy,in_wel,out_ghb,out_rch,out_sfr,out_ss,out_sy,out_wel,tailwater,trgw_0_13_10,trgw_0_15_16,trgw_0_21_10,trgw_0_22_15,trgw_0_24_4,trgw_0_26_6,trgw_0_29_15,trgw_0_2_15,trgw_0_2_9,trgw_0_33_7,trgw_0_34_10,trgw_0_3_8,trgw_0_9_1,trgw_2_13_10,trgw_2_15_16,trgw_2_21_10,trgw_2_22_15,trgw_2_24_4,trgw_2_26_6,trgw_2_29_15,trgw_2_2_15,trgw_2_2_9,trgw_2_33_7,trgw_2_34_10,trgw_2_3_8,trgw_2_9_1
0,5000,0,0,682.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.737,136.946,0,0,0
0,5000,1,1,584.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.539,316.727,0,0,0
0,5000,2,2,276.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.083,184.572,0,0,0
0,5000,3,3,237.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.324,136.1,0,0,0
0,5000,4,4,27.4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.959,116.02,0,0,0
0,5000,5,5,54.6446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.228,26.4947,0,0,0
0,5000,6,6,293.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.04,101.4,0,0,0
0,5000,7,7,410.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.078,63.5882,0,0,0
0,5000,8,8,847.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.048,200.031,0,0,0
0,5000,9,9,136.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.289,252.991,0,0,0
